location,name,freq,weighting,direction,n_stocks,n_stocks_min,date,ret
dnk,mkt,daily,vw_cap,na,16,na,1986-01-30,-0.008622549
dnk,mkt,daily,vw_cap,na,21,na,1986-01-29,0.000602646
dnk,mkt,daily,vw_cap,na,15,na,1986-01-28,0.0110021258
dnk,mkt,daily,vw_cap,na,15,na,1986-01-24,0.0170635622
dnk,mkt,daily,vw_cap,na,22,na,1986-01-27,0.0314779361
dnk,mkt,daily,vw_cap,na,19,na,1986-01-23,-0.007093075
dnk,mkt,daily,vw_cap,na,18,na,1986-01-22,0.012087519
dnk,mkt,daily,vw_cap,na,19,na,1986-01-21,-0.002556318
dnk,mkt,daily,vw_cap,na,17,na,1986-01-20,-0.036278467
dnk,mkt,daily,vw_cap,na,20,na,1986-01-17,0.0040806909
dnk,mkt,daily,vw_cap,na,23,na,1986-01-16,-0.005584346
dnk,mkt,daily,vw_cap,na,14,na,1986-01-31,0.0050078111
dnk,mkt,daily,vw_cap,na,24,na,1986-01-15,0.027521243
dnk,mkt,daily,vw_cap,na,17,na,1986-01-14,-0.010571541
dnk,mkt,daily,vw_cap,na,19,na,1986-01-13,-0.057676303
dnk,mkt,daily,vw_cap,na,19,na,1986-01-10,0.0005003079
dnk,mkt,daily,vw_cap,na,21,na,1986-01-09,-0.029110935
dnk,mkt,daily,vw_cap,na,19,na,1986-01-08,-0.02453119
dnk,mkt,daily,vw_cap,na,18,na,1986-01-07,-0.00428082
dnk,mkt,daily,vw_cap,na,18,na,1986-01-06,0.0002846411
dnk,mkt,daily,vw_cap,na,17,na,1986-01-03,-0.022641568
dnk,mkt,daily,vw_cap,na,14,na,1986-01-02,-0.007801362
dnk,mkt,daily,vw_cap,na,27,na,1986-02-27,0.0134805464
dnk,mkt,daily,vw_cap,na,11,na,1986-02-26,-0.002302241
dnk,mkt,daily,vw_cap,na,19,na,1986-02-25,0.0192723177
dnk,mkt,daily,vw_cap,na,21,na,1986-02-24,0.0098714156
dnk,mkt,daily,vw_cap,na,12,na,1986-02-21,-0.003360184
dnk,mkt,daily,vw_cap,na,14,na,1986-02-20,-0.005925317
dnk,mkt,daily,vw_cap,na,17,na,1986-02-19,0.0239860008
dnk,mkt,daily,vw_cap,na,20,na,1986-02-28,0.0006991753
dnk,mkt,daily,vw_cap,na,20,na,1986-02-18,0.0023019668
dnk,mkt,daily,vw_cap,na,19,na,1986-02-17,0.006058862
dnk,mkt,daily,vw_cap,na,21,na,1986-02-14,0.0086563707
dnk,mkt,daily,vw_cap,na,16,na,1986-02-13,0.0109073075
dnk,mkt,daily,vw_cap,na,20,na,1986-02-12,-0.002448524
dnk,mkt,daily,vw_cap,na,22,na,1986-02-11,0.0161304094
dnk,mkt,daily,vw_cap,na,13,na,1986-02-10,0.0072160211
dnk,mkt,daily,vw_cap,na,21,na,1986-02-07,0.0087987356
dnk,mkt,daily,vw_cap,na,22,na,1986-02-06,0.0104370278
dnk,mkt,daily,vw_cap,na,19,na,1986-02-05,0.0053600597
dnk,mkt,daily,vw_cap,na,25,na,1986-02-04,0.0020211025
dnk,mkt,daily,vw_cap,na,16,na,1986-02-03,0.0171555265
dnk,mkt,daily,vw_cap,na,12,na,1986-03-26,-0.013890749
dnk,mkt,daily,vw_cap,na,20,na,1986-03-25,-0.008647675
dnk,mkt,daily,vw_cap,na,18,na,1986-03-24,-0.009904888
dnk,mkt,daily,vw_cap,na,19,na,1986-03-21,0.0122137672
dnk,mkt,daily,vw_cap,na,16,na,1986-03-20,-0.000048144
dnk,mkt,daily,vw_cap,na,19,na,1986-03-19,0.0070392669
dnk,mkt,daily,vw_cap,na,19,na,1986-03-18,-0.003999057
dnk,mkt,daily,vw_cap,na,15,na,1986-03-17,0.0097730534
dnk,mkt,daily,vw_cap,na,20,na,1986-03-14,0.0057978231
dnk,mkt,daily,vw_cap,na,32,na,1986-03-13,0.0035246703
dnk,mkt,daily,vw_cap,na,9,na,1986-03-12,0.0080513096
dnk,mkt,daily,vw_cap,na,21,na,1986-03-11,-0.02463163
dnk,mkt,daily,vw_cap,na,14,na,1986-03-10,-0.020549661
dnk,mkt,daily,vw_cap,na,15,na,1986-03-07,-0.00272474
dnk,mkt,daily,vw_cap,na,17,na,1986-03-06,-0.014482637
dnk,mkt,daily,vw_cap,na,19,na,1986-03-05,0.0003915306
dnk,mkt,daily,vw_cap,na,20,na,1986-03-04,0.0211778384
dnk,mkt,daily,vw_cap,na,18,na,1986-03-03,0.0070907039
dnk,mkt,daily,vw_cap,na,20,na,1986-04-30,-0.002886433
dnk,mkt,daily,vw_cap,na,17,na,1986-04-29,-0.002207855
dnk,mkt,daily,vw_cap,na,30,na,1986-04-28,-0.009872355
dnk,mkt,daily,vw_cap,na,27,na,1986-04-24,-0.016312993
dnk,mkt,daily,vw_cap,na,24,na,1986-04-23,0.007215193
dnk,mkt,daily,vw_cap,na,25,na,1986-04-22,-0.0020298
dnk,mkt,daily,vw_cap,na,22,na,1986-04-21,-0.001487225
dnk,mkt,daily,vw_cap,na,14,na,1986-04-18,0.0159081017
dnk,mkt,daily,vw_cap,na,25,na,1986-04-17,0.0219373664
dnk,mkt,daily,vw_cap,na,21,na,1986-04-16,0.0175265658
dnk,mkt,daily,vw_cap,na,27,na,1986-04-15,-0.002499134
dnk,mkt,daily,vw_cap,na,23,na,1986-04-14,-0.004362597
dnk,mkt,daily,vw_cap,na,18,na,1986-04-11,0.0178276856
dnk,mkt,daily,vw_cap,na,22,na,1986-04-10,0.0018061347
dnk,mkt,daily,vw_cap,na,22,na,1986-04-09,0.0164882613
dnk,mkt,daily,vw_cap,na,21,na,1986-04-08,0.0284150334
dnk,mkt,daily,vw_cap,na,17,na,1986-04-03,-0.018501006
dnk,mkt,daily,vw_cap,na,15,na,1986-04-02,-0.007369434
dnk,mkt,daily,vw_cap,na,20,na,1986-04-01,0.004492257
dnk,mkt,daily,vw_cap,na,24,na,1986-05-30,-0.0147886
dnk,mkt,daily,vw_cap,na,22,na,1986-05-28,0.0010597642
dnk,mkt,daily,vw_cap,na,27,na,1986-05-27,-0.00175823
dnk,mkt,daily,vw_cap,na,26,na,1986-05-26,-0.007178123
dnk,mkt,daily,vw_cap,na,24,na,1986-05-23,0.0004103048
dnk,mkt,daily,vw_cap,na,28,na,1986-05-22,0.0006243184
dnk,mkt,daily,vw_cap,na,27,na,1986-05-21,0.0146073165
dnk,mkt,daily,vw_cap,na,25,na,1986-05-20,-0.014359669
dnk,mkt,daily,vw_cap,na,26,na,1986-05-29,-0.032671356
dnk,mkt,daily,vw_cap,na,26,na,1986-05-16,-0.033622676
dnk,mkt,daily,vw_cap,na,23,na,1986-05-15,-0.00948337
dnk,mkt,daily,vw_cap,na,28,na,1986-05-14,0.0047983466
dnk,mkt,daily,vw_cap,na,25,na,1986-05-13,-0.033956998
dnk,mkt,daily,vw_cap,na,26,na,1986-05-12,-0.00150053
dnk,mkt,daily,vw_cap,na,23,na,1986-05-09,0.004565704
dnk,mkt,daily,vw_cap,na,29,na,1986-05-08,0.0152473406
dnk,mkt,daily,vw_cap,na,28,na,1986-05-06,-0.028454925
dnk,mkt,daily,vw_cap,na,13,na,1986-05-05,-0.005063791
dnk,mkt,daily,vw_cap,na,22,na,1986-05-02,-0.000659174
dnk,mkt,daily,vw_cap,na,22,na,1986-05-01,-0.016842502
dnk,mkt,daily,vw_cap,na,23,na,1986-06-30,0.0100949813
dnk,mkt,daily,vw_cap,na,19,na,1986-06-27,0.0021126053
dnk,mkt,daily,vw_cap,na,17,na,1986-06-26,-0.014383901
dnk,mkt,daily,vw_cap,na,22,na,1986-06-25,0.0091085606
dnk,mkt,daily,vw_cap,na,27,na,1986-06-24,0.0176618931
dnk,mkt,daily,vw_cap,na,23,na,1986-06-23,0.0066282665
dnk,mkt,daily,vw_cap,na,30,na,1986-06-20,-0.020712544
dnk,mkt,daily,vw_cap,na,11,na,1986-06-19,-0.02672919
dnk,mkt,daily,vw_cap,na,23,na,1986-06-18,-0.016367448
dnk,mkt,daily,vw_cap,na,28,na,1986-06-17,-0.023495261
dnk,mkt,daily,vw_cap,na,27,na,1986-06-16,0.0039107245
dnk,mkt,daily,vw_cap,na,28,na,1986-06-13,0.0024740206
dnk,mkt,daily,vw_cap,na,29,na,1986-06-12,-0.017333843
dnk,mkt,daily,vw_cap,na,18,na,1986-06-11,-0.005294134
dnk,mkt,daily,vw_cap,na,26,na,1986-06-10,-0.004750075
dnk,mkt,daily,vw_cap,na,27,na,1986-06-09,0.0196892283
dnk,mkt,daily,vw_cap,na,11,na,1986-06-06,0.0198513979
dnk,mkt,daily,vw_cap,na,26,na,1986-06-04,0.0072902633
dnk,mkt,daily,vw_cap,na,26,na,1986-06-03,0.0392709948
dnk,mkt,daily,vw_cap,na,26,na,1986-06-02,-0.005296517
dnk,mkt,daily,vw_cap,na,26,na,1986-07-31,-0.016171373
dnk,mkt,daily,vw_cap,na,23,na,1986-07-29,0.0053948077
dnk,mkt,daily,vw_cap,na,21,na,1986-07-28,0.0053029471
dnk,mkt,daily,vw_cap,na,24,na,1986-07-25,-0.02438975
dnk,mkt,daily,vw_cap,na,26,na,1986-07-23,-0.0118187
dnk,mkt,daily,vw_cap,na,16,na,1986-07-22,-0.000900581
dnk,mkt,daily,vw_cap,na,20,na,1986-07-21,0.0048494646
dnk,mkt,daily,vw_cap,na,26,na,1986-07-30,0.013989216
