location,name,freq,weighting,direction,n_stocks,n_stocks_min,date,ret
dnk,mkt,monthly,vw_cap,na,32,na,1986-01-31,-0.076877871
dnk,mkt,monthly,vw_cap,na,32,na,1986-02-28,0.108788374
dnk,mkt,monthly,vw_cap,na,32,na,1986-03-31,-0.010487851
dnk,mkt,monthly,vw_cap,na,31,na,1986-04-30,0.0402749573
dnk,mkt,monthly,vw_cap,na,31,na,1986-05-31,-0.120250522
dnk,mkt,monthly,vw_cap,na,31,na,1986-06-30,-0.003560619
dnk,mkt,monthly,vw_cap,na,30,na,1986-07-31,-0.03354157
dnk,mkt,monthly,vw_cap,na,30,na,1986-08-31,-0.003977772
dnk,mkt,monthly,vw_cap,na,30,na,1986-09-30,0.018916736
dnk,mkt,monthly,vw_cap,na,30,na,1986-10-31,-0.016017137
dnk,mkt,monthly,vw_cap,na,31,na,1986-11-30,0.0173626478
dnk,mkt,monthly,vw_cap,na,31,na,1986-12-31,0.0241830708
dnk,mkt,monthly,vw_cap,na,31,na,1987-01-31,0.2168250345
dnk,mkt,monthly,vw_cap,na,31,na,1987-02-28,-0.084040709
dnk,mkt,monthly,vw_cap,na,31,na,1987-03-31,0.0149314375
dnk,mkt,monthly,vw_cap,na,31,na,1987-04-30,0.0129790573
dnk,mkt,monthly,vw_cap,na,31,na,1987-05-31,0.0112853957
dnk,mkt,monthly,vw_cap,na,31,na,1987-06-30,0.006400235
dnk,mkt,monthly,vw_cap,na,32,na,1987-07-31,-0.022846756
dnk,mkt,monthly,vw_cap,na,32,na,1987-08-31,0.0598662039
dnk,mkt,monthly,vw_cap,na,33,na,1987-09-30,-0.065494872
dnk,mkt,monthly,vw_cap,na,34,na,1987-10-31,-0.082491766
dnk,mkt,monthly,vw_cap,na,34,na,1987-11-30,0.053152675
dnk,mkt,monthly,vw_cap,na,34,na,1987-12-31,0.0031961881
dnk,mkt,monthly,vw_cap,na,34,na,1988-01-31,0.0005451325
dnk,mkt,monthly,vw_cap,na,34,na,1988-02-29,0.0238832404
dnk,mkt,monthly,vw_cap,na,34,na,1988-03-31,0.0196138221
dnk,mkt,monthly,vw_cap,na,35,na,1988-04-30,0.0027853147
dnk,mkt,monthly,vw_cap,na,35,na,1988-05-31,0.0665349747
dnk,mkt,monthly,vw_cap,na,35,na,1988-06-30,-0.005515649
dnk,mkt,monthly,vw_cap,na,35,na,1988-07-31,-0.000589202
dnk,mkt,monthly,vw_cap,na,35,na,1988-08-31,-0.04428823
dnk,mkt,monthly,vw_cap,na,35,na,1988-09-30,0.0782042487
dnk,mkt,monthly,vw_cap,na,35,na,1988-10-31,0.1097916223
dnk,mkt,monthly,vw_cap,na,35,na,1988-11-30,0.0364759812
dnk,mkt,monthly,vw_cap,na,35,na,1988-12-31,0.0568141229
dnk,mkt,monthly,vw_cap,na,37,na,1989-01-31,0.0031945058
dnk,mkt,monthly,vw_cap,na,37,na,1989-02-28,-0.018883288
dnk,mkt,monthly,vw_cap,na,37,na,1989-03-31,0.0048315553
dnk,mkt,monthly,vw_cap,na,37,na,1989-04-30,0.0470920937
dnk,mkt,monthly,vw_cap,na,37,na,1989-05-31,-0.048254787
dnk,mkt,monthly,vw_cap,na,37,na,1989-06-30,0.1119179978
dnk,mkt,monthly,vw_cap,na,36,na,1989-07-31,0.074348873
dnk,mkt,monthly,vw_cap,na,35,na,1989-08-31,-0.101564738
dnk,mkt,monthly,vw_cap,na,34,na,1989-09-30,0.0219336352
dnk,mkt,monthly,vw_cap,na,34,na,1989-10-31,0.0536413144
dnk,mkt,monthly,vw_cap,na,34,na,1989-11-30,0.0675597743
dnk,mkt,monthly,vw_cap,na,34,na,1989-12-31,0.0750341417
dnk,mkt,monthly,vw_cap,na,34,na,1990-01-31,0.0219992797
dnk,mkt,monthly,vw_cap,na,34,na,1990-02-28,-0.023594448
dnk,mkt,monthly,vw_cap,na,34,na,1990-03-31,0.0377698045
dnk,mkt,monthly,vw_cap,na,34,na,1990-04-30,-0.056279848
dnk,mkt,monthly,vw_cap,na,32,na,1990-05-31,0.0474371574
dnk,mkt,monthly,vw_cap,na,30,na,1990-06-30,0.0092203919
dnk,mkt,monthly,vw_cap,na,30,na,1990-07-31,0.0611423695
